Name,Club,Position,Overall
Tijjani Reijnders,Milan,CM,78
Sérgio Oliveira,Galatasaray,CM,78
Giovanni Reyna,Borussia Dortmund,RM,78
André Almeida,Valencia CF,CM,78
Dani Rodríguez,RCD Mallorca,RM,78
Alexis Saelemaekers,Bologna,RW,78
Antonio Sanabria,Torino,ST,78
Pablo Sarabia,Wolves,RM,78
Gianluca Scamacca,Bergamo Calcio,ST,78
Stefano Sensi,Inter,CM,78
Giovanni Simeone,Napoli FC,ST,78
Luis Sinisterra,AFC Bournemouth,LM,78
Emile Smith Rowe,Arsenal,LW,78
Borna Sosa,Ajax,LWB,78
Djibril Sow,Sevilla FC,CM,78
Taras Stepanenko,Shakhtar Donetsk,CDM,78
Lars Stindl,Karlsruher SC,CAM,78
Renato Tapia,RC Celta,CDM,78
António Silva,SL Benfica,CB,78
James Tavernier,Rangers,RB,78
Adrien Thomasson,RC Lens,LW,78
Takehiro Tomiyasu,Arsenal,RB,78
Óscar Trejo,Rayo Vallecano,CAM,78
Mike Trésor,Burnley,LM,78
Cengiz Ünder,Fenerbahçe,RM,78
Myrto Uzuni,Granada CF,ST,78
Micky van de Ven,Spurs,CB,78
Branco van den Boomen,Ajax,CM,78
Jamie Vardy,Leicester City,ST,78
Joey Veerman,PSV,CM,78
Gabri Veiga,Al Ahli,CM,78
Joël Veltman,Brighton,RB,78
Vesga,Athletic Club,CM,78
Nikola Vlašić,Torino,CF,78
Elye Wahi,RC Lens,ST,78
James Ward-Prowse,West Ham,CM,78
Adam Webster,Brighton,CB,78
Joe Willock,Newcastle Utd,CM,78
Patrick Wimmer,VfL Wolfsburg,RW,78
Marius Wolf,Borussia Dortmund,RB,78
Yunis Abdelhamid,Stade de Reims,CB,77
Luciano Acosta,FC Cincinnati,CAM,77
Tosin Adarabioyo,Fulham,CB,77
Amine Adli,Leverkusen,ST,77
Kerem Aktürkoğlu,Galatasaray,LM,77
Salem Al Dawsari,Al Hilal,LM,77
Nadiem Amiri,Leverkusen,CAM,77
Stephen Eustáquio,FC Porto,CDM,77
Taiwo Awoniyi,Nott'm Forest,ST,77
Loïc Badé,Sevilla FC,CB,77
Tommaso Baldanzi,Empoli,CAM,77
Iván Balliu,Rayo Vallecano,RB,77
Jonathan Bamba,RC Celta,LM,77
Igor Paixão,Feyenoord,LW,77
Esequiel Barco,River Plate,LM,77
Abdülkerim Bardakçı,Galatasaray,CB,77
Musa Barrow,Al Taawoun,CF,77
Michy Batshuayi,Fenerbahçe,ST,77
Ihlas Bebou,TSG Hoffenheim,ST,77
Juan Bernat,SL Benfica,LB,77
Philip Billing,AFC Bournemouth,CM,77
Daley Blind,Girona FC,CB,77
Willian,Fulham,LM,77
Fabio Borini,Sampdoria,LM,77
Lucas Boyé,Granada CF,ST,77
Martin Braithwaite,RCD Espanyol,ST,77
Ante Budimir,CA Osasuna,ST,77
Santiago Bueno,Wolves,CB,77
Alessandro Buongiorno,Torino,CB,77
Dominic Calvert-Lewin,Everton,ST,77
Gianluca Caprari,Monza,CF,77
Timothy Castagne,Fulham,RB,77
Danilo Cataldi,Latium,CDM,77
Franco Cervi,RC Celta,LM,77
Trevoh Chalobah,Chelsea,CB,77
Viktor Claesson,F.C. København,CM,77
Dodô,Fiorentina,RB,77
Joaquín Correa,OM,CF,77
Jaume Costa,RCD Mallorca,LWB,77
Aaron Cresswell,West Ham,LB,77
Danilo D'Ambrosio,Monza,CB,77
Ben Davies,Spurs,CB,77
Craig Dawson,Wolves,CB,77
De Frutos,Rayo Vallecano,RM,77
Vanderson,AS Monaco,RB,77
Michael,Al Hilal,LM,77
Merih Demiral,Al Ahli,CB,77
Paulinho,Sporting CP,ST,77
Samuel Lino,Atlético de Madrid,LM,77
Eric Dier,Spurs,CB,77
Sofiane Diop,OGC Nice,LM,77
Dakonam Djené,Getafe CF,CB,77
Berat Djimsiti,Bergamo Calcio,CB,77
Jérémy Doku,Manchester City,RM,77
Nicolás Domínguez,Nott'm Forest,CDM,77
Éderson,Bergamo Calcio,CM,77
Abdoulaye Doucouré,Everton,CM,77
Marvin Ducksch,SV Werder Bremen,ST,77
Harvey Elliott,Liverpool,CAM,77
Nico Elvedi,M'gladbach,CB,77
Gonzalo Escalante,Cádiz CF,CM,77
Nicolò Fagioli,Juventus,CM,77
Romain Faivre,FC Lorient,RM,77
Fábio Vieira,Arsenal,CAM,77
Jordan Ferri,Montpellier,CDM,77
Pablo Fornals,West Ham,LM,77
Kyogo Furuhashi,Celtic,ST,77
Levi García,AEK Athens,ST,77
Raúl García,Athletic Club,ST,77
Rodrigo Garro,Talleres,CAM,77
Yannick Gerhardt,VfL Wolfsburg,CM,77
Morgan Gibbs-White,Nott'm Forest,CAM,77
Bryan Gil,Spurs,LW,77
Maximiliano Gómez,Cádiz CF,ST,77
Leandro González Pirez,River Plate,CB,77
Demarai Gray,Ettifaq FC,LM,77
Marko Grujić,FC Porto,CM,77
Idrissa Gueye,Everton,CDM,77
Pape Gueye,OM,CM,77
Serhou Guirassy,VfB Stuttgart,ST,77
Arda Güler,Real Madrid,CAM,77
Guruzeta,Athletic Club,ST,77
Abderrazak Hamdallah,Al Ittihad,ST,77
Javier Hernández,LA Galaxy,ST,77
Bryan Heynen,KRC Genk,CDM,77
Morten Hjulmand,Sporting CP,CDM,77
Adam Hložek,Leverkusen,ST,77
Andreas Pereira,Fulham,CAM,77
Tomáš Holeš,Slavia Praha,CB,77
Timo Hübers,1. FC Köln,CB,77
Jonathan Ikoné,Fiorentina,RW,77
Illarramendi,FC Dallas,CM,77
Danny Ings,West Ham,ST,77
Ko Itakura,M'gladbach,CB,77
Vincent Janssen,Royal Antwerp FC,ST,77
Adnan Januzaj,Sevilla FC,RW,77
Sequeira,Pendikspor,LB,77
Curtis Jones,Liverpool,CM,77
Luka Jović,Milan,ST,77
Josip Juranović,Union Berlin,RWB,77
Ferdi Kadıoğlu,Fenerbahçe,RB,77
Saša Kalajdžić,Wolves,ST,77
Jesper Karlsson,Bologna,LW,77
Michael Keane,Everton,CB,77
Justin Kluivert,AFC Bournemouth,RM,77
Robin Knoche,Union Berlin,CB,77
Dominik Kohr,1. FSV Mainz 05,CDM,77
Ghislain Konan,Al Fayha,LB,77
Kouadio Manu Koné,M'gladbach,CM,77
Christian Kouamé,Fiorentina,ST,77
Christoph Kramer,M'gladbach,CDM,77
Ladislav Krejčí,Sparta Praha,CB,77
Enzo Le Fée,Stade Rennais FC,CM,77
Florian Lejeune,Rayo Vallecano,CB,77
Clément Lenglet,Aston Villa,CB,77
Jefferson Lerma,Crystal Palace,CDM,77
Jesper Lindstrøm,Napoli FC,CAM,77
Marko Livaja,Hajduk Split,CF,77
Diego Llorente,Roma FC,CB,77
Ruben Loftus-Cheek,Milan,CM,77
Pedro Neto,Wolves,LM,77
Castello Lukeba,RB Leipzig,CB,77
Saša Lukić,Fulham,CM,77
André Horta,SC Braga,CM,77
Darwin Machís,Cádiz CF,LM,77
Noni Madueke,Chelsea,RW,77
Joakim Mæhle,VfL Wolfsburg,LWB,77
Marcano,FC Porto,CB,77
Guillermo Maripán,AS Monaco,CB,77
Lucas Martínez Quarta,Fiorentina,CB,77
Clinton Mata,OL,RB,77
Melendo,Granada CF,CM,77
Domingos Duarte,Getafe CF,CB,77
Pere Milla,RCD Espanyol,ST,77
James Milner,Brighton,CM,77
Yerry Mina,Fiorentina,CB,77
Rafa Mir,Sevilla FC,ST,77
Alexey Miranchuk,Bergamo Calcio,CF,77
Miranda,Real Betis,LB,77
Terem Moffi,OGC Nice,ST,77
Johan Mojica,CA Osasuna,LB,77
César Montes,UD Almería,CB,77
Trincão,Sporting CP,RW,77
Youssoufa Moukoko,Borussia Dortmund,ST,77
Marshall Munetsi,Stade de Reims,CDM,77
Daniel Muñoz,KRC Genk,RB,77
Rodrigo Becão,Fenerbahçe,CB,77
João Mário,FC Porto,RB,77
Moussa Niakhaté,Nott'm Forest,CB,77
Felix Nmecha,Borussia Dortmund,CM,77
Lukas Nmecha,VfL Wolfsburg,ST,77
Christian Nørgaard,Brentford,CDM,77
Unai Núñez,RC Celta,CB,77
Anthony Nwakaeme,Al Fayha,ST,77
Brian Oliván,RCD Espanyol,LB,77
Emerson,West Ham,LB,77
Leandro Paredes,Roma FC,CM,77
Fabiano Parisi,Fiorentina,LB,77
Enzo Pérez,River Plate,CDM,77
Andrea Petagna,Cagliari,ST,77
Orbelín Pineda,AEK Athens,CAM,77
Alassane Plea,M'gladbach,CAM,77
Stefan Posch,Bologna,RB,77
Yaroslav Rakitskyi,Shakhtar Donetsk,CB,77
Ante Rebić,Beşiktaş,ST,77
Nathan Redmond,Burnley,RM,77
Thierry Correia,Valencia CF,RB,77
Mateo Retegui,Genoa,ST,77
Diego Rico,Getafe CF,LB,77
Riquelme,Atlético de Madrid,LM,77
Fábio Cardoso,FC Porto,CB,77
Marcos Rojo,Boca Juniors,CB,77
Luiz Henrique,Real Betis,RM,77
Nicolò Rovella,Latium,CM,77
Raúl Ruidíaz,Sounders FC,ST,77
Julian Ryerson,Borussia Dortmund,LB,77
Youssouf Sabaly,Real Betis,RB,77
Umar Sadiq,Real Sociedad,ST,77
Davinson Sánchez,Galatasaray,CB,77
Rodri,Real Betis,LM,77
Baptiste Santamaria,Stade Rennais FC,CDM,77
Mykola Shaparenko,Dynamo Kyiv,CM,77
Oliver Skipp,Spurs,CDM,77
Andreas Skov Olsen,Club Brugge,RM,77
Manor Solomon,Spurs,LW,77
Florian Sotoca,RC Lens,ST,77
Çağlar Söyüncü,Atlético de Madrid,CB,77
Jeremiah St. Juste,Sporting CP,CB,77
Nicolae Stanciu,Damac FC,CM,77
Gabriel Strefezza,Lecce,RW,77
Cristhian Stuani,Girona FC,ST,77
Damián Suárez,Getafe CF,RWB,77
Sebastian Szymański,Fenerbahçe,CAM,77
André Gomes,Everton,CDM,77
Arthur Theate,Stade Rennais FC,CB,77
Malick Thiaw,Milan,CB,77
Lucas Torró,CA Osasuna,CDM,77
Lucas Tousart,Union Berlin,CDM,77
Manu Trigueros,Villarreal CF,CM,77
Christopher Trimmel,Union Berlin,RWB,77
Konstantinos Tsimikas,Liverpool,LB,77
Bruma,SC Braga,LM,77
Destiny Udogie,Spurs,LB,77
Martin Valjent,RCD Mallorca,CB,77
Donny van de Beek,Manchester Utd,CM,77
Matías Vecino,Latium,CM,77
Wout Weghorst,TSG Hoffenheim,ST,77
Mitchell Weiser,SV Werder Bremen,RWB,77
Yoane Wissa,Brentford,LW,77
Laurent Abergel,FC Lorient,CDM,76
Ruben Aguilar,RC Lens,RB,76
Ai Kesen,Rongcheng FC,LW,76
Chuba Akpom,Ajax,ST,76
Omar Alderete,Getafe CF,CB,76
Alexander Alvarado,LDU Quito,LM,76
Nordin Amrabat,AEK Athens,RM,76
Houssem Aouar,Roma FC,CAM,76
Cristian Arango,Real Salt Lake,ST,76
Ludwig Augustinsson,RSC Anderlecht,LB,76
Iddrisu Baba,UD Almería,CM,76
Álex Baena,Villarreal CF,CM,76
Eric Bailly,Beşiktaş,CB,76
Cédric Bakambu,Galatasaray,ST,76
Anastasios Bakasetas,Trabzonspor,CM,76
Leonardo Balerdi,OM,CB,76
Bradley Barcola,Paris SG,RW,76
Leandro Barreiro Martins,1. FSV Mainz 05,CM,76
Lucas Beltrán,Fiorentina,ST,76
Willy Boly,Nott'm Forest,CB,76
Sebastiaan Bornauw,VfL Wolfsburg,CB,76
Rafael Santos Borré,SV Werder Bremen,ST,76
Olivier Boscagli,PSV,CB,76
Hicham Boudaoui,OGC Nice,CM,76
Aaron Boupendza,FC Cincinnati,LM,76
Malcom Braida,San Lorenzo,LWB,76
Josip Brekalo,Fiorentina,CF,76
Brian Brobbey,Ajax,ST,76
John Brooks,TSG Hoffenheim,CB,76
Vitaliy Buyalskyi,Dynamo Kyiv,CM,76
Anthony Caci,1. FSV Mainz 05,LWB,76
Duje Ćaleta-Car,OL,CB,76
Francesco Caputo,Empoli,ST,76
Cameron Carter-Vickers,Celtic,CB,76
Vitinha,OM,ST,76
Carlos Júnior,Al Shabab,RW,76
Milton Casco,River Plate,RB,76
Jonny,Wolves,LB,76
Zeki Çelik,Roma FC,RWB,76
Václav Černý,VfL Wolfsburg,RW,76
Conor Coady,Leicester City,CB,76
Nathan Collins,Brentford,CB,76
Eray Cömert,FC Nantes,CB,76
Maxwel Cornet,West Ham,LM,76
Josh Cullen,Burnley,CDM,76
Eric Curbelo,UD Las Palmas,CB,76
Hugo Cuypers,KAA Gent,ST,76
Davidson,Wuhan 3 Towns,LW,76
Willian José,Real Betis,ST,76
Mikkel Damsgaard,Brentford,CAM,76
Bobby De Cordova-Reid,Fulham,RM,76
Charles De Ketelaere,Bergamo Calcio,CAM,76
Mattia De Sciglio,Juventus,RB,76
Moussa Dembélé,Ettifaq FC,ST,76
Sergiño Dest,PSV,RB,76
Kiernan Dewsbury-Hall,Leicester City,CM,76
Mouctar Diakhaby,Valencia CF,CB,76
Paulo Díaz,River Plate,CB,76
Alexander Djiku,Fenerbahçe,CB,76
Oscar Dorley,Slavia Praha,CM,76
Niklas Dorsch,FC Augsburg,CDM,76
Igor,Brighton,CB,76
Tiago Djaló,LOSC Lille,CB,76
Embarba,UD Almería,LM,76
Frank Fabra,Boca Juniors,LB,76
Wout Faes,Leicester City,CB,76
Fayçal Fajr,Al Wehda,CM,76
Marco Davide Faraoni,Hellas Verona,RWB,76
Lorenzo Faravelli,Independiente DV,CM,76
Christian Fassnacht,Norwich,RM,76
Jesus Ferreira,FC Dallas,ST,76
Nicolás Figal,Boca Juniors,CB,76
Angelo Fulgini,RC Lens,LW,76
Patric,Latium,CB,76
Mijat Gaćinović,AEK Athens,LM,76
Kévin Gameiro,Strasbourg,ST,76
Dani García,Athletic Club,CM,76
Johan Gastien,Clermont Foot 63,CDM,76
Federico Gatti,Juventus,CB,76
Ryan Gauld,Whitecaps FC,CF,76
Dániel Gazdag,Philadelphia,CAM,76
Adrià Pedrosa,Sevilla FC,LB,76
Angel Gomes,LOSC Lille,CAM,76
João Gomes,Wolves,CDM,76
Nico González,FC Porto,CDM,76
Craig Goodwin,Al Wehda,LM,76
Gorosabel,D. Alavés,RB,76
Florian Grillitsch,TSG Hoffenheim,CDM,76
Andrés Guardado,Real Betis,CDM,76
Frédéric Guilbert,Strasbourg,RWB,76
Malo Gusto,Chelsea,RB,76
Massadio Haïdara,RC Lens,LWB,76
Marcel Halstenberg,Hannover 96,CB,76
Lukáš Haraslín,Sparta Praha,LW,76
Amine Harit,OM,LM,76
Jack Harrison,Everton,LM,76
Trezeguet,Trabzonspor,LW,76
Cucho Hernández,Columbus Crew,ST,76
Aridane,Rayo Vallecano,CB,76
Yangel Herrera,Girona FC,CM,76
Aaron Hickey,Brentford,RB,76
Nicolas Höfler,SC Freiburg,CDM,76
Rasmus Højlund,Manchester Utd,ST,76
Rob Holding,Crystal Palace,CB,76
Franck Honorat,M'gladbach,RM,76
Hwang Hee Chan,Wolves,LM,76
Elseid Hysaj,Latium,LB,76
Kelechi Iheanacho,Leicester City,ST,76
Ivan Ilić,Torino,CM,76
Sverrir Ingi Ingason,FC Midtjylland,CB,76
Luka Ivanušec,Feyenoord,CAM,76
Alex Iwobi,Fulham,RM,76
Vitaly Janelt,Brentford,CDM,76
Mathias Jensen,Brentford,CM,76
Raúl Jiménez,Fulham,ST,76
Brennan Johnson,Spurs,RW,76
James Justin,Leicester City,LB,76
Arnaud Kalimuendo,Stade Rennais FC,ST,76
Thilo Kehrer,West Ham,CB,76
Ryan Kent,Fenerbahçe,LW,76
Rani Khedira,Union Berlin,CDM,76
Max Kilman,Wolves,CB,76
Davy Klaassen,Inter,CM,76
Robin Koch,Frankfurt,CB,76
Odilon Kossounou,Leverkusen,CB,76
Alex Král,Union Berlin,CDM,76
Max Kruse,SC Paderborn 07,CF,76
Jan Kuchta,Sparta Praha,ST,76
Maxence Lacroix,VfL Wolfsburg,CB,76
Aïssa Laïdouni,Union Berlin,CDM,76
Adam Lallana,Brighton,CAM,76
Manuel Lanzini,River Plate,CAM,76
Julien Laporte,FC Lorient,CB,76
Darko Lazović,Hellas Verona,LM,76
Pierre Lees-Melou,Stade Brestois 29,CM,76
Chiquinho,SL Benfica,CM,76
Dejan Ljubičić,1. FC Köln,RM,76
Nicolás Lodeiro,Sounders FC,CAM,76
Deiver Machado,RC Lens,LWB,76
Aïssa Mandi,Villarreal CF,CB,76
Rolando Mandragora,Fiorentina,CM,76
Orel Mangala,Nott'm Forest,CM,76
Petros Mantalos,AEK Athens,CAM,76
Pablo Marí,Monza,CB,76
Răzvan Marin,Empoli,CM,76
Óscar Valentín,Rayo Vallecano,CDM,76
Toni Martínez,FC Porto,ST,76
Arthur Masuaku,Beşiktaş,LB,76
Azor Matusiwa,Stade de Reims,CDM,76
Mykola Matviienko,Shakhtar Donetsk,CB,76
Stephy Mavididi,Leicester City,LW,76
Alexandru Maxim,Gaziantep,CAM,76
Kevin Mbabu,FC Augsburg,RB,76
Weston McKennie,Juventus,CM,76
Dwight McNeil,Everton,LM,76
Brandon Mechele,Club Brugge,CB,76
Medrán,Al Taawoun,CM,76
Birger Meling,F.C. København,LB,76
Thomas Meunier,Borussia Dortmund,RB,76
João Paulo,Sounders FC,CM,76
Tyrick Mitchell,Crystal Palace,LB,76
Aníbal Moreno,Racing Club,CDM,76
Alberto Moreno,Villarreal CF,LB,76
Jacob Murphy,Newcastle Utd,RW,76
Wendell,FC Porto,LB,76
Sikou Niakaté,SC Braga,CB,76
Rasmus Nicolaisen,Toulouse FC,CB,76
Casper Nielsen,Club Brugge,CM,76
Jean-Pierre Nsame,BSC Young Boys,ST,76
Odriozola,Real Sociedad,RB,76
Angelo Ogbonna,West Ham,CB,76
Martín Ojeda,Orlando City,RM,76
Noah Okafor,Milan,ST,76
Warmed Omari,Stade Rennais FC,CB,76
Amadou Onana,Everton,CDM,76
Karim Onisiwo,1. FSV Mainz 05,ST,76
Azzedine Ounahi,OM,CM,76
Magomed Ozdoev,PAOK FC,CM,76
Dorlan Pabón,Atl. Nacional,RM,76
Luan Peres,Fenerbahçe,CB,76
Nehuén Pérez,Udinese,CB,76
Rubén Pérez,Panathinaikos,CDM,76
Carles Pérez,RC Celta,RM,76
Germán Pezzella,Real Betis,CB,76
Diogo Leite,Union Berlin,CB,76
Tommaso Pobega,Milan,CM,76
Yussuf Poulsen,RB Leipzig,ST,76
Grischa Prömel,TSG Hoffenheim,CM,76
Puado,RCD Espanyol,LM,76
Soufiane Rahimi,Al Ain FC,LM,76
Milot Rashica,Beşiktaş,RM,76
Harrison Reed,Fulham,CDM,76
Samuele Ricci,Torino,CDM,76
Mats Rits,RSC Anderlecht,CM,76
Antonee Robinson,Fulham,LB,76
Valentin Rosier,Beşiktaş,RB,76
Diego Rossi,Columbus Crew,LM,76
Jérôme Roussillon,Union Berlin,LWB,76
Aitor Ruibal,Real Betis,RB,76
Ruiz de Galarreta,Athletic Club,CM,76
Abel Ruiz,SC Braga,ST,76
Mohammed Salisu,AS Monaco,CB,76
Roland Sallai,SC Freiburg,RM,76
Morgan Sanson,OGC Nice,CM,76
Danilo,Nott'm Forest,CDM,76
Fábio Martins,Al Khaleej,LM,76
Zaidu Sanusi,FC Porto,LB,76
Riccardo Saponara,Hellas Verona,LM,76
Ismaïla Sarr,OM,RM,76
Jeffrey Schlupp,Crystal Palace,CDM,76
Nicolas Seiwald,RB Leipzig,CM,76
Marcos Senesi,AFC Bournemouth,CB,76
Suat Serdar,Hellas Verona,CM,76
Petr Ševčík,Slavia Praha,CM,76
Tuta,Frankfurt,CB,76
Wilfried Singo,AS Monaco,RWB,76
Danilo,VfL Bochum,LB,76
Oumar Solet,RB Salzburg,CB,76
Junior Sornoza,Independiente DV,CAM,76
Riccardo Sottil,Fiorentina,LW,76
Willian Arão,Panathinaikos,CDM,76
Stijn Spierings,Toulouse FC,CDM,76
Renato Steffen,FC Lugano,RM,76
Miroslav Stevanović,Servette FC,RM,76
Yukinari Sugawara,AZ,RB,76
Mattias Svanberg,VfL Wolfsburg,CM,76
Jonas Svensson,Adana Demirspor,RB,76
Attila Szalai,TSG Hoffenheim,CB,76
Flavien Tait,Samsunspor,CM,76
Matt Targett,Newcastle Utd,LB,76
David Carmo,FC Porto,CB,76
Cristian Tello,Al Fateh,LW,76
Kenny Tete,Fulham,RB,76
Tetê,Galatasaray,RM,76
Jordan Teze,PSV,RB,76
Karl Toko Ekambi,Abha Club,LW,76
Hamed Traorè,AFC Bournemouth,LM,76
Adrien Truffert,Stade Rennais FC,LB,76
Patrick van Aanholt,PSV,LB,76
Alan Varela,FC Porto,CDM,76
Nuno Tavares,Nott'm Forest,LB,76
Franco Vázquez,Cremonese,CAM,76
Nacho Vidal,CA Osasuna,RB,76
Lucas Villalba,Argentinos Jrs.,CB,76
Kevin Vogt,TSG Hoffenheim,CB,76
Kai Wagner,Philadelphia,LB,76
Kyle Walker-Peters,Southampton,RB,76
Daniel Wass,Brøndby IF,RB,76
Danny Welbeck,Brighton,ST,76
Silvan Widmer,1. FSV Mainz 05,RWB,76
Mats Wieffer,Feyenoord,CDM,76
Owen Wijndal,Royal Antwerp FC,LB,76
Jonas Wind,VfL Wolfsburg,ST,76
Maximilian Wöber,M'gladbach,CB,76
Ashley Young,Everton,LB,76
Nicola Zalewski,Roma FC,RM,76
Fernando Zampedri,Uni. Católica,ST,76
Ramiz Zerrouki,Feyenoord,CM,76
Walker Zimmerman,Nashville SC,CB,76
Andrija Živković,PAOK FC,RW,76
Steven Zuber,AEK Athens,ST,76
Zakaria Aboukhlal,Toulouse FC,RW,75
Ché Adams,Southampton,ST,75
Luis Advíncula,Boca Juniors,RB,75
Emmanuel Agbadou,Stade de Reims,CB,75
Anel Ahmedhodžić,Sheffield Utd,CB,75
Rayan Aït-Nouri,Wolves,LB,75
Kristoffer Ajer,Brentford,CB,75
Jean-Daniel Akpa Akpro,Monza,CM,75
Lucas Alario,Frankfurt,ST,75
Rubén Alcaraz,Cádiz CF,CM,75
Dele Alli,Everton,CM,75
Juan Cruz,CA Osasuna,LB,75
Vinícius,Fulham,ST,75
Selim Amallah,Valencia CF,CAM,75
Iago,FC Augsburg,LB,75
Waldemar Anton,VfB Stuttgart,CB,75
Santiago Arias,FC Cincinnati,RB,75
Copete,RCD Mallorca,CB,75
Santiago Ascacíbar,Estudiantes,CM,75
Gabriel Ávalos,Argentinos Jrs.,ST,75
Johan Bakayoko,PSV,RW,75
Mama Baldé,OL,ST,75
Patrick Bamford,Leeds United,ST,75
Vina,Al Hazem,CAM,75
Alexander Barboza,Libertad,CB,75
Taison,PAOK FC,CAM,75
Keidi Bare,RCD Espanyol,CDM,75
Kike Barja,CA Osasuna,RM,75
Federico Baschirotto,Lecce,CB,75
Gelson Martins,AS Monaco,RM,75
Younès Belhanda,Adana Demirspor,CAM,75
Stefan Bell,1. FSV Mainz 05,CB,75
Jean-Ricner Bellegarde,Wolves,CM,75
Nabil Bentaleb,LOSC Lille,CDM,75
Patrick Berg,FK Bodø/Glimt,CDM,75
Sander Berge,Burnley,CM,75
Jordan Beyer,Burnley,CB,75
Jaka Bijol,Udinese,CB,75
Jérémie Boga,OGC Nice,LM,75
Artem Bondarenko,Shakhtar Donetsk,CAM,75
Miguel Borja,River Plate,ST,75
Gustavo Bou,New England,ST,75
Armando Broja,Chelsea,ST,75
Josh Brownhill,Burnley,CM,75
Marius Bülter,TSG Hoffenheim,LM,75
Bernard,Panathinaikos,LW,75
José Callejón,Granada CF,LM,75
Sergio Camello,Rayo Vallecano,ST,75
Aitor,Panathinaikos,LW,75
Todd Cantwell,Rangers,CAM,75
Léo Baptistão,UD Almería,RM,75
Samu Castillejo,Sassuolo,RM,75
Leonardo Castro,Millonarios,ST,75
Julian Chabot,1. FC Köln,CB,75
Fidel,Elche CF,LM,75
Rayan Cherki,OL,CAM,75
Pedro Chirivella,FC Nantes,CDM,75
Víctor Chust,Cádiz CF,CB,75
Alexis Claude-Maurice,OGC Nice,CM,75
Saúl Coco,UD Las Palmas,CB,75
Séamus Coleman,Everton,RB,75
Miguel Crespo,Fenerbahçe,CM,75
Tomáš Čvančara,M'gladbach,ST,75
Evander,Portland Timbers,CM,75
Maurício,Portimonense SC,CDM,75
Patson Daka,Leicester City,ST,75
Thijs Dallinga,Toulouse FC,ST,75
Pedro De la Vega,Lanús,RM,75
Dani de Wit,AZ,CAM,75
Brecht Dejaegere,Charlotte FC,CM,75
Ermedin Demirović,FC Augsburg,LM,75
Diego Demme,Napoli FC,CDM,75
Jason Denayer,Al Fateh,CB,75
Leander Dendoncker,Aston Villa,CM,75
Emmanuel Dennis,Başakşehir,ST,75
Cyriel Dessers,Rangers,ST,75
Federico Di Francesco,Palermo,LW,75
Bafodé Diakité,LOSC Lille,RB,75
Krépin Diatta,AS Monaco,RM,75
Damián Díaz,Barcelona SC,CAM,75
Enzo Díaz,River Plate,LB,75
Víctor Díaz,Granada CF,CB,75
Junior Dina Ebimbe,Frankfurt,RM,75
Ousmane Diomande,Sporting CP,CB,75
Matt Doherty,Wolves,RB,75
Josh Doig,Hellas Verona,LWB,75
Kasper Dolberg,RSC Anderlecht,ST,75
Léo Duarte,Başakşehir,CB,75
Rubén Duarte,D. Alavés,LB,75
Odsonne Edouard,Crystal Palace,ST,75
Maximilian Eggestein,SC Freiburg,CDM,75
Chidera Ejuke,Royal Antwerp FC,LM,75
Hugo Ekitike,Paris SG,ST,75
Aschraf El Mahdioui,Al Taawoun,CDM,75
Jawad El Yamiq,Al Wehda,CB,75
Mohamed Elneny,Arsenal,CDM,75
Edu Expósito,RCD Espanyol,CAM,75
Rasmus Falk,F.C. København,CM,75
Facundo Farías,Inter Miami CF,CAM,75
Nicolás Fernández,Defensa,ST,75
Guillermo Fernández,Boca Juniors,CM,75
Álex Fernández,Cádiz CF,CAM,75
Joaquín,Trabzonspor,CB,75
Alexis Flips,RSC Anderlecht,LM,75
Alessandro Florenzi,Milan,RB,75
Gabriel Veron,FC Porto,RM,75
Taxiarchis Fountas,Trabzonspor,CF,75
Marvin Friedrich,M'gladbach,CB,75
Unai García,CA Osasuna,CB,75
Eric García,Girona FC,CB,75
Falcao,Rayo Vallecano,ST,75
Alejandro Garnacho,Manchester Utd,LW,75
Dennis Geiger,TSG Hoffenheim,CDM,75
Lautaro Giannetti,Vélez Sarsfield,CB,75
Andrei Girotto,Al Taawoun,CB,75
Ben Godfrey,Everton,CB,75
Connor Goldson,Rangers,CB,75
Derlis González,Olimpia,ST,75
Anthony Gordon,Newcastle Utd,LW,75
Jeffrey Gouweleeuw,FC Augsburg,CB,75
Clément Grenier,R. Racing Club,CM,75
Hugo Guillamón,Valencia CF,CDM,75
Emmanuel Gyasi,Empoli,RM,75
Viktor Gyökeres,Sporting CP,ST,75
Janik Haberer,Union Berlin,CM,75
Amir Hadžiahmetović,Beşiktaş,CDM,75
Tarek Hamed,Damac FC,CDM,75
Gustavo Hamer,Sheffield Utd,CM,75
Andreas Hanche-Olsen,1. FSV Mainz 05,CB,75
Guilherme Sityá,Konyaspor,LB,75
Matheus Henrique,Sassuolo,CM,75
Gastón Hernández,San Lorenzo,CB,75
Luís Hernández,Cádiz CF,CB,75
Isak Hien,Hellas Verona,CB,75
Philipp Hofmann,VfL Bochum,ST,75
Patrik Hrošovský,KRC Genk,CDM,75
Callum Hudson-Odoi,Nott'm Forest,LW,75
Marcus Ingvartsen,FC Nordsjælland,CF,75
Hiroki Ito,VfB Stuttgart,CB,75
Mauro Júnior,PSV,RB,75
Iván Jaime,FC Porto,LM,75
Kristijan Jakić,Frankfurt,CDM,75
Daniel James,Leeds United,RM,75
Fali,Cádiz CF,CB,75
Alistair Johnston,Celtic,RB,75
Christopher Jullien,Montpellier,CB,75
