Name,Nation,Position,Overall
Jérémy Doku,Belgium,RM,77
Nicolás Domínguez,Argentina,CDM,77
Éderson,Brazil,CM,77
Abdoulaye Doucouré,Mali,CM,77
Marvin Ducksch,Germany,ST,77
Harvey Elliott,England,CAM,77
Nico Elvedi,Switzerland,CB,77
Gonzalo Escalante,Argentina,CM,77
Nicolò Fagioli,Italy,CM,77
Romain Faivre,France,RM,77
Fábio Vieira,Portugal,CAM,77
Jordan Ferri,France,CDM,77
Pablo Fornals,Spain,LM,77
Kyogo Furuhashi,Japan,ST,77
Levi García,Trinidad and Tobago,ST,77
Raúl García,Spain,ST,77
Rodrigo Garro,Argentina,CAM,77
Yannick Gerhardt,Germany,CM,77
Morgan Gibbs-White,England,CAM,77
Bryan Gil,Spain,LW,77
Maximiliano Gómez,Uruguay,ST,77
Leandro González Pirez,Argentina,CB,77
Demarai Gray,Jamaica,LM,77
Marko Grujić,Serbia,CM,77
Idrissa Gueye,Senegal,CDM,77
Pape Gueye,Senegal,CM,77
Serhou Guirassy,Guinea,ST,77
Arda Güler,Turkey,CAM,77
Guruzeta,Spain,ST,77
Abderrazak Hamdallah,Morocco,ST,77
Javier Hernández,Mexico,ST,77
Bryan Heynen,Belgium,CDM,77
Morten Hjulmand,Denmark,CDM,77
Adam Hložek,Czech Republic,ST,77
Andreas Pereira,Brazil,CAM,77
Tomáš Holeš,Czech Republic,CB,77
Timo Hübers,Germany,CB,77
Jonathan Ikoné,France,RW,77
Illarramendi,Spain,CM,77
Danny Ings,England,ST,77
Ko Itakura,Japan,CB,77
Vincent Janssen,Holland,ST,77
Adnan Januzaj,Belgium,RW,77
Sequeira,Portugal,LB,77
Curtis Jones,England,CM,77
Luka Jović,Serbia,ST,77
Josip Juranović,Croatia,RWB,77
Ferdi Kadıoğlu,Turkey,RB,77
Saša Kalajdžić,Austria,ST,77
Jesper Karlsson,Sweden,LW,77
Michael Keane,England,CB,77
Justin Kluivert,Holland,RM,77
Robin Knoche,Germany,CB,77
Dominik Kohr,Germany,CDM,77
Ghislain Konan,Côte d'Ivoire,LB,77
Kouadio Manu Koné,France,CM,77
Christian Kouamé,Côte d'Ivoire,ST,77
Christoph Kramer,Germany,CDM,77
Ladislav Krejčí,Czech Republic,CB,77
Enzo Le Fée,France,CM,77
Florian Lejeune,France,CB,77
Clément Lenglet,France,CB,77
Jefferson Lerma,Colombia,CDM,77
Jesper Lindstrøm,Denmark,CAM,77
Marko Livaja,Croatia,CF,77
Diego Llorente,Spain,CB,77
Ruben Loftus-Cheek,England,CM,77
Pedro Neto,Portugal,LM,77
Castello Lukeba,France,CB,77
Saša Lukić,Serbia,CM,77
André Horta,Portugal,CM,77
Darwin Machís,Venezuela,LM,77
Noni Madueke,England,RW,77
Joakim Mæhle,Denmark,LWB,77
Marcano,Spain,CB,77
Guillermo Maripán,Chile,CB,77
Lucas Martínez Quarta,Argentina,CB,77
Clinton Mata,Angola,RB,77
Melendo,Spain,CM,77
Domingos Duarte,Portugal,CB,77
Pere Milla,Spain,ST,77
James Milner,England,CM,77
Yerry Mina,Colombia,CB,77
Rafa Mir,Spain,ST,77
Alexey Miranchuk,Russia,CF,77
Miranda,Spain,LB,77
Terem Moffi,Nigeria,ST,77
Johan Mojica,Colombia,LB,77
César Montes,Mexico,CB,77
Trincão,Portugal,RW,77
Youssoufa Moukoko,Germany,ST,77
Marshall Munetsi,Zimbabwe,CDM,77
Daniel Muñoz,Colombia,RB,77
Rodrigo Becão,Brazil,CB,77
João Mário,Portugal,RB,77
Moussa Niakhaté,Senegal,CB,77
Felix Nmecha,Germany,CM,77
Lukas Nmecha,Germany,ST,77
Christian Nørgaard,Denmark,CDM,77
Unai Núñez,Spain,CB,77
Anthony Nwakaeme,Nigeria,ST,77
Brian Oliván,Spain,LB,77
Emerson,Italy,LB,77
Leandro Paredes,Argentina,CM,77
Fabiano Parisi,Italy,LB,77
Enzo Pérez,Argentina,CDM,77
Andrea Petagna,Italy,ST,77
Orbelín Pineda,Mexico,CAM,77
Alassane Plea,France,CAM,77
Stefan Posch,Austria,RB,77
Yaroslav Rakitskyi,Ukraine,CB,77
Ante Rebić,Croatia,ST,77
Nathan Redmond,England,RM,77
Thierry Correia,Portugal,RB,77
Mateo Retegui,Italy,ST,77
Diego Rico,Spain,LB,77
Riquelme,Spain,LM,77
Fábio Cardoso,Portugal,CB,77
Marcos Rojo,Argentina,CB,77
Luiz Henrique,Brazil,RM,77
Nicolò Rovella,Italy,CM,77
Raúl Ruidíaz,Peru,ST,77
Julian Ryerson,Norway,LB,77
Youssouf Sabaly,Senegal,RB,77
Umar Sadiq,Nigeria,ST,77
Davinson Sánchez,Colombia,CB,77
Rodri,Spain,LM,77
Baptiste Santamaria,France,CDM,77
Mykola Shaparenko,Ukraine,CM,77
Oliver Skipp,England,CDM,77
Andreas Skov Olsen,Denmark,RM,77
Manor Solomon,Israel,LW,77
Florian Sotoca,France,ST,77
Çağlar Söyüncü,Turkey,CB,77
Jeremiah St. Juste,Holland,CB,77
Nicolae Stanciu,Romania,CM,77
Gabriel Strefezza,Brazil,RW,77
Cristhian Stuani,Uruguay,ST,77
Damián Suárez,Uruguay,RWB,77
Sebastian Szymański,Poland,CAM,77
André Gomes,Portugal,CDM,77
Arthur Theate,Belgium,CB,77
Malick Thiaw,Germany,CB,77
Lucas Torró,Spain,CDM,77
Lucas Tousart,France,CDM,77
Manu Trigueros,Spain,CM,77
Christopher Trimmel,Austria,RWB,77
Konstantinos Tsimikas,Greece,LB,77
Bruma,Portugal,LM,77
Destiny Udogie,Italy,LB,77
Martin Valjent,Slovakia,CB,77
Donny van de Beek,Holland,CM,77
Matías Vecino,Uruguay,CM,77
Wout Weghorst,Holland,ST,77
Mitchell Weiser,Germany,RWB,77
Yoane Wissa,Congo DR,LW,77
Laurent Abergel,France,CDM,76
Ruben Aguilar,France,RB,76
Ai Kesen,China PR,LW,76
Chuba Akpom,England,ST,76
Omar Alderete,Paraguay,CB,76
Alexander Alvarado,Ecuador,LM,76
Nordin Amrabat,Morocco,RM,76
Houssem Aouar,Algeria,CAM,76
Cristian Arango,Colombia,ST,76
Ludwig Augustinsson,Sweden,LB,76
Iddrisu Baba,Ghana,CM,76
Álex Baena,Spain,CM,76
Eric Bailly,Côte d'Ivoire,CB,76
Cédric Bakambu,Congo DR,ST,76
Anastasios Bakasetas,Greece,CM,76
Leonardo Balerdi,Argentina,CB,76
Bradley Barcola,France,RW,76
Leandro Barreiro Martins,Luxembourg,CM,76
Lucas Beltrán,Argentina,ST,76
Willy Boly,Côte d'Ivoire,CB,76
Sebastiaan Bornauw,Belgium,CB,76
Rafael Santos Borré,Colombia,ST,76
Olivier Boscagli,France,CB,76
Hicham Boudaoui,Algeria,CM,76
Aaron Boupendza,Gabon,LM,76
Malcom Braida,Argentina,LWB,76
Josip Brekalo,Croatia,CF,76
Brian Brobbey,Holland,ST,76
John Brooks,United States,CB,76
Vitaliy Buyalskyi,Ukraine,CM,76
Anthony Caci,France,LWB,76
Duje Ćaleta-Car,Croatia,CB,76
Francesco Caputo,Italy,ST,76
Cameron Carter-Vickers,United States,CB,76
Vitinha,Portugal,ST,76
Carlos Júnior,Brazil,RW,76
Milton Casco,Argentina,RB,76
Jonny,Spain,LB,76
Zeki Çelik,Turkey,RWB,76
Václav Černý,Czech Republic,RW,76
Conor Coady,England,CB,76
Nathan Collins,Republic of Ireland,CB,76
Eray Cömert,Switzerland,CB,76
Maxwel Cornet,Côte d'Ivoire,LM,76
Josh Cullen,Republic of Ireland,CDM,76
Eric Curbelo,Spain,CB,76
Hugo Cuypers,Belgium,ST,76
Davidson,Brazil,LW,76
Willian José,Brazil,ST,76
Mikkel Damsgaard,Denmark,CAM,76
Bobby De Cordova-Reid,Jamaica,RM,76
Charles De Ketelaere,Belgium,CAM,76
Mattia De Sciglio,Italy,RB,76
Moussa Dembélé,France,ST,76
Sergiño Dest,United States,RB,76
Kiernan Dewsbury-Hall,England,CM,76
Mouctar Diakhaby,Guinea,CB,76
Paulo Díaz,Chile,CB,76
Alexander Djiku,Ghana,CB,76
Oscar Dorley,Liberia,CM,76
Niklas Dorsch,Germany,CDM,76
Igor,Brazil,CB,76
Tiago Djaló,Portugal,CB,76
Embarba,Spain,LM,76
Frank Fabra,Colombia,LB,76
Wout Faes,Belgium,CB,76
Fayçal Fajr,Morocco,CM,76
Marco Davide Faraoni,Italy,RWB,76
Lorenzo Faravelli,Argentina,CM,76
Christian Fassnacht,Switzerland,RM,76
Jesus Ferreira,United States,ST,76
Nicolás Figal,Argentina,CB,76
Angelo Fulgini,France,LW,76
Patric,Spain,CB,76
Mijat Gaćinović,Serbia,LM,76
Kévin Gameiro,France,ST,76
Dani García,Spain,CM,76
Johan Gastien,France,CDM,76
Federico Gatti,Italy,CB,76
Ryan Gauld,Scotland,CF,76
Dániel Gazdag,Hungary,CAM,76
Adrià Pedrosa,Spain,LB,76
Angel Gomes,England,CAM,76
João Gomes,Brazil,CDM,76
Nico González,Spain,CDM,76
Craig Goodwin,Australia,LM,76
Gorosabel,Spain,RB,76
Florian Grillitsch,Austria,CDM,76
Andrés Guardado,Mexico,CDM,76
Frédéric Guilbert,France,RWB,76
Malo Gusto,France,RB,76
Massadio Haïdara,Mali,LWB,76
Marcel Halstenberg,Germany,CB,76
Lukáš Haraslín,Slovakia,LW,76
Amine Harit,Morocco,LM,76
Jack Harrison,England,LM,76
Trezeguet,Egypt,LW,76
Cucho Hernández,Colombia,ST,76
Aridane,Spain,CB,76
Yangel Herrera,Venezuela,CM,76
Aaron Hickey,Scotland,RB,76
Nicolas Höfler,Germany,CDM,76
Rasmus Højlund,Denmark,ST,76
Rob Holding,England,CB,76
Franck Honorat,France,RM,76
Hwang Hee Chan,Korea Republic,LM,76
Elseid Hysaj,Albania,LB,76
Kelechi Iheanacho,Nigeria,ST,76
Ivan Ilić,Serbia,CM,76
Sverrir Ingi Ingason,Iceland,CB,76
Luka Ivanušec,Croatia,CAM,76
Alex Iwobi,Nigeria,RM,76
Vitaly Janelt,Germany,CDM,76
Mathias Jensen,Denmark,CM,76
Raúl Jiménez,Mexico,ST,76
Brennan Johnson,Wales,RW,76
James Justin,England,LB,76
Arnaud Kalimuendo,France,ST,76
Thilo Kehrer,Germany,CB,76
Ryan Kent,England,LW,76
Rani Khedira,Germany,CDM,76
Max Kilman,England,CB,76
Davy Klaassen,Holland,CM,76
Robin Koch,Germany,CB,76
Odilon Kossounou,Côte d'Ivoire,CB,76
Alex Král,Czech Republic,CDM,76
Max Kruse,Germany,CF,76
Jan Kuchta,Czech Republic,ST,76
Maxence Lacroix,France,CB,76
Aïssa Laïdouni,Tunisia,CDM,76
Adam Lallana,England,CAM,76
Manuel Lanzini,Argentina,CAM,76
Julien Laporte,France,CB,76
Darko Lazović,Serbia,LM,76
Pierre Lees-Melou,France,CM,76
Chiquinho,Portugal,CM,76
Dejan Ljubičić,Austria,RM,76
Nicolás Lodeiro,Uruguay,CAM,76
Deiver Machado,Colombia,LWB,76
Aïssa Mandi,Algeria,CB,76
Rolando Mandragora,Italy,CM,76
Orel Mangala,Belgium,CM,76
Petros Mantalos,Greece,CAM,76
Pablo Marí,Spain,CB,76
Răzvan Marin,Romania,CM,76
Óscar Valentín,Spain,CDM,76
Toni Martínez,Spain,ST,76
Arthur Masuaku,Congo DR,LB,76
Azor Matusiwa,Holland,CDM,76
Mykola Matviienko,Ukraine,CB,76
Stephy Mavididi,England,LW,76
Alexandru Maxim,Romania,CAM,76
Kevin Mbabu,Switzerland,RB,76
Weston McKennie,United States,CM,76
Dwight McNeil,England,LM,76
Brandon Mechele,Belgium,CB,76
Medrán,Spain,CM,76
Birger Meling,Norway,LB,76
Thomas Meunier,Belgium,RB,76
João Paulo,Brazil,CM,76
Tyrick Mitchell,England,LB,76
Aníbal Moreno,Argentina,CDM,76
Alberto Moreno,Spain,LB,76
Jacob Murphy,England,RW,76
Wendell,Brazil,LB,76
Sikou Niakaté,France,CB,76
Rasmus Nicolaisen,Denmark,CB,76
Casper Nielsen,Denmark,CM,76
Jean-Pierre Nsame,Cameroon,ST,76
Odriozola,Spain,RB,76
Angelo Ogbonna,Italy,CB,76
Martín Ojeda,Argentina,RM,76
Noah Okafor,Switzerland,ST,76
Warmed Omari,France,CB,76
Amadou Onana,Belgium,CDM,76
Karim Onisiwo,Austria,ST,76
Azzedine Ounahi,Morocco,CM,76
Magomed Ozdoev,Russia,CM,76
Dorlan Pabón,Colombia,RM,76
Luan Peres,Brazil,CB,76
Nehuén Pérez,Argentina,CB,76
Rubén Pérez,Spain,CDM,76
Carles Pérez,Spain,RM,76
Germán Pezzella,Argentina,CB,76
Diogo Leite,Portugal,CB,76
Tommaso Pobega,Italy,CM,76
Yussuf Poulsen,Denmark,ST,76
Grischa Prömel,Germany,CM,76
Puado,Spain,LM,76
Soufiane Rahimi,Morocco,LM,76
Milot Rashica,Kosovo,RM,76
Harrison Reed,England,CDM,76
Samuele Ricci,Italy,CDM,76
Mats Rits,Belgium,CM,76
Antonee Robinson,United States,LB,76
Valentin Rosier,France,RB,76
Diego Rossi,Uruguay,LM,76
Jérôme Roussillon,France,LWB,76
Aitor Ruibal,Spain,RB,76
Ruiz de Galarreta,Spain,CM,76
Abel Ruiz,Spain,ST,76
Mohammed Salisu,Ghana,CB,76
Roland Sallai,Hungary,RM,76
Morgan Sanson,France,CM,76
Danilo,Brazil,CDM,76
Fábio Martins,Portugal,LM,76
Zaidu Sanusi,Nigeria,LB,76
Riccardo Saponara,Italy,LM,76
Ismaïla Sarr,Senegal,RM,76
Jeffrey Schlupp,Ghana,CDM,76
Nicolas Seiwald,Austria,CM,76
Marcos Senesi,Argentina,CB,76
Suat Serdar,Germany,CM,76
Petr Ševčík,Czech Republic,CM,76
Tuta,Brazil,CB,76
Wilfried Singo,Côte d'Ivoire,RWB,76
Danilo,Brazil,LB,76
Oumar Solet,France,CB,76
Junior Sornoza,Ecuador,CAM,76
Riccardo Sottil,Italy,LW,76
Willian Arão,Brazil,CDM,76
Stijn Spierings,Holland,CDM,76
Renato Steffen,Switzerland,RM,76
Miroslav Stevanović,Bosnia and Herzegovina,RM,76
Yukinari Sugawara,Japan,RB,76
Mattias Svanberg,Sweden,CM,76
Jonas Svensson,Norway,RB,76
Attila Szalai,Hungary,CB,76
Flavien Tait,France,CM,76
Matt Targett,England,LB,76
David Carmo,Portugal,CB,76
Cristian Tello,Spain,LW,76
Kenny Tete,Holland,RB,76
Tetê,Brazil,RM,76
Jordan Teze,Holland,RB,76
Karl Toko Ekambi,Cameroon,LW,76
Hamed Traorè,Côte d'Ivoire,LM,76
Adrien Truffert,France,LB,76
Patrick van Aanholt,Holland,LB,76
Alan Varela,Argentina,CDM,76
Nuno Tavares,Portugal,LB,76
Franco Vázquez,Argentina,CAM,76
Nacho Vidal,Spain,RB,76
Lucas Villalba,Argentina,CB,76
Kevin Vogt,Germany,CB,76
Kai Wagner,Germany,LB,76
Kyle Walker-Peters,England,RB,76
Daniel Wass,Denmark,RB,76
Danny Welbeck,England,ST,76
Silvan Widmer,Switzerland,RWB,76
Mats Wieffer,Holland,CDM,76
Owen Wijndal,Holland,LB,76
Jonas Wind,Denmark,ST,76
Maximilian Wöber,Austria,CB,76
Ashley Young,England,LB,76
Nicola Zalewski,Poland,RM,76
Fernando Zampedri,Argentina,ST,76
Ramiz Zerrouki,Algeria,CM,76
Walker Zimmerman,United States,CB,76
Andrija Živković,Serbia,RW,76
Steven Zuber,Switzerland,ST,76
Zakaria Aboukhlal,Morocco,RW,75
Ché Adams,Scotland,ST,75
Luis Advíncula,Peru,RB,75
Emmanuel Agbadou,Côte d'Ivoire,CB,75
Anel Ahmedhodžić,Bosnia and Herzegovina,CB,75
Rayan Aït-Nouri,France,LB,75
Kristoffer Ajer,Norway,CB,75
Jean-Daniel Akpa Akpro,Côte d'Ivoire,CM,75
Lucas Alario,Argentina,ST,75
Rubén Alcaraz,Spain,CM,75
Dele Alli,England,CM,75
Juan Cruz,Spain,LB,75
Vinícius,Brazil,ST,75
Selim Amallah,Morocco,CAM,75
Iago,Brazil,LB,75
Waldemar Anton,Germany,CB,75
Santiago Arias,Colombia,RB,75
Copete,Spain,CB,75
Santiago Ascacíbar,Argentina,CM,75
Gabriel Ávalos,Paraguay,ST,75
Johan Bakayoko,Belgium,RW,75
Mama Baldé,Guinea-Bissau,ST,75
Patrick Bamford,England,ST,75
Vina,Brazil,CAM,75
Alexander Barboza,Argentina,CB,75
Taison,Brazil,CAM,75
Keidi Bare,Albania,CDM,75
Kike Barja,Spain,RM,75
Federico Baschirotto,Italy,CB,75
Gelson Martins,Portugal,RM,75
Younès Belhanda,Morocco,CAM,75
Stefan Bell,Germany,CB,75
Jean-Ricner Bellegarde,France,CM,75
Nabil Bentaleb,Algeria,CDM,75
Patrick Berg,Norway,CDM,75
Sander Berge,Norway,CM,75
Jordan Beyer,Germany,CB,75
Jaka Bijol,Slovenia,CB,75
Jérémie Boga,Côte d'Ivoire,LM,75
Artem Bondarenko,Ukraine,CAM,75
Miguel Borja,Colombia,ST,75
Gustavo Bou,Argentina,ST,75
Armando Broja,Albania,ST,75
Josh Brownhill,England,CM,75
Marius Bülter,Germany,LM,75
Bernard,Brazil,LW,75
José Callejón,Spain,LM,75
Sergio Camello,Spain,ST,75
Aitor,Spain,LW,75
Todd Cantwell,England,CAM,75
Léo Baptistão,Brazil,RM,75
Samu Castillejo,Spain,RM,75
Leonardo Castro,Colombia,ST,75
Julian Chabot,Germany,CB,75
Fidel,Spain,LM,75
Rayan Cherki,France,CAM,75
Pedro Chirivella,Spain,CDM,75
Víctor Chust,Spain,CB,75
Alexis Claude-Maurice,France,CM,75
Saúl Coco,Equatorial Guinea,CB,75
Séamus Coleman,Republic of Ireland,RB,75
Miguel Crespo,Portugal,CM,75
Tomáš Čvančara,Czech Republic,ST,75
Evander,Brazil,CM,75
Maurício,Brazil,CDM,75
Patson Daka,Zambia,ST,75
Thijs Dallinga,Holland,ST,75
Pedro De la Vega,Argentina,RM,75
Dani de Wit,Holland,CAM,75
Brecht Dejaegere,Belgium,CM,75
Ermedin Demirović,Bosnia and Herzegovina,LM,75
Diego Demme,Germany,CDM,75
Jason Denayer,Belgium,CB,75
Leander Dendoncker,Belgium,CM,75
Emmanuel Dennis,Nigeria,ST,75
Cyriel Dessers,Nigeria,ST,75
Federico Di Francesco,Italy,LW,75
Bafodé Diakité,France,RB,75
Krépin Diatta,Senegal,RM,75
Damián Díaz,Ecuador,CAM,75
Enzo Díaz,Argentina,LB,75
Víctor Díaz,Spain,CB,75
Junior Dina Ebimbe,France,RM,75
Ousmane Diomande,Côte d'Ivoire,CB,75
Matt Doherty,Republic of Ireland,RB,75
Josh Doig,Scotland,LWB,75
Kasper Dolberg,Denmark,ST,75
Léo Duarte,Brazil,CB,75
Rubén Duarte,Spain,LB,75
Odsonne Edouard,France,ST,75
Maximilian Eggestein,Germany,CDM,75
Chidera Ejuke,Nigeria,LM,75
Hugo Ekitike,France,ST,75
Aschraf El Mahdioui,Holland,CDM,75
Jawad El Yamiq,Morocco,CB,75
Mohamed Elneny,Egypt,CDM,75
Edu Expósito,Spain,CAM,75
Rasmus Falk,Denmark,CM,75
Facundo Farías,Argentina,CAM,75
Nicolás Fernández,Argentina,ST,75
Guillermo Fernández,Argentina,CM,75
Álex Fernández,Spain,CAM,75
Joaquín,Spain,CB,75
Alexis Flips,France,LM,75
Alessandro Florenzi,Italy,RB,75
Gabriel Veron,Brazil,RM,75
Taxiarchis Fountas,Greece,CF,75
Marvin Friedrich,Germany,CB,75
Unai García,Spain,CB,75
Eric García,Spain,CB,75
Falcao,Colombia,ST,75
Alejandro Garnacho,Argentina,LW,75
Dennis Geiger,Germany,CDM,75
Lautaro Giannetti,Argentina,CB,75
Andrei Girotto,Brazil,CB,75
Ben Godfrey,England,CB,75
Connor Goldson,England,CB,75
Derlis González,Paraguay,ST,75
Anthony Gordon,England,LW,75
Jeffrey Gouweleeuw,Holland,CB,75
Clément Grenier,France,CM,75
Hugo Guillamón,Spain,CDM,75
Emmanuel Gyasi,Ghana,RM,75
Viktor Gyökeres,Sweden,ST,75
Janik Haberer,Germany,CM,75
Amir Hadžiahmetović,Bosnia and Herzegovina,CDM,75
Tarek Hamed,Egypt,CDM,75
Gustavo Hamer,Holland,CM,75
Andreas Hanche-Olsen,Norway,CB,75
Guilherme Sityá,Brazil,LB,75
Matheus Henrique,Brazil,CM,75
Gastón Hernández,Argentina,CB,75
Luís Hernández,Spain,CB,75
Isak Hien,Sweden,CB,75
Philipp Hofmann,Germany,ST,75
Patrik Hrošovský,Slovakia,CDM,75
Callum Hudson-Odoi,England,LW,75
Marcus Ingvartsen,Denmark,CF,75
Hiroki Ito,Japan,CB,75
Mauro Júnior,Brazil,RB,75
Iván Jaime,Spain,LM,75
Kristijan Jakić,Croatia,CDM,75
Daniel James,Wales,RM,75
Fali,Spain,CB,75
Alistair Johnston,Canada,RB,75
Christopher Jullien,France,CB,75
Jutglà,Spain,ST,75
Ozan Kabak,Turkey,CB,75
Pavel Kadeřábek,Czech Republic,RWB,75
İrfan Can Kahveci,Turkey,RW,75
Lukáš Kalvach,Czech Republic,CDM,75
Jakub Kamiński,Poland,LW,75
Marc-Oliver Kempf,Germany,CB,75
Milos Kerkez,Hungary,LB,75
Joshua King,Norway,ST,75
Tim Kleindienst,Germany,ST,75
Ansgar Knauff,Germany,RM,75
Sekou Koita,Mali,ST,75
Cheikhou Kouyaté,Senegal,CDM,75
Rasmus Kristensen,Denmark,RWB,75
Grzegorz Krychowiak,Poland,CDM,75
Lukas Kübler,Germany,RB,75
Marash Kumbulla,Albania,CB,75
Daler Kuzyaev,Russia,CM,75
Daniel-Kofi Kyereh,Ghana,CAM,75
Stefan Lainer,Austria,RB,75
Tariq Lamptey,Ghana,RB,75
Gianluca Lapadula,Peru,ST,75
Cyle Larin,Canada,ST,75
Sam Larsson,Sweden,LM,75
Jamaal Lascelles,England,CB,75
Cristian Lema,Argentina,CB,75
Ondřej Lingr,Czech Republic,LW,75
Enzo Loiodice,France,CM,75
Ivi López,Spain,CF,75
Anthony Losilla,France,CDM,75
Jordan Lotomba,Switzerland,RB,75
Sandi Lovrič,Slovenia,CM,75
Eduard Löwen,Germany,CM,75
Giulio Maggiore,Italy,CM,75
Arne Maier,Germany,RM,75
Víctor Ignacio Malcorra,Argentina,CAM,75
Emanuel Mammana,Argentina,CB,75
Marcão,Brazil,ST,75
Omar Marmoush,Egypt,ST,75
Aarón,Spain,LWB,75
Josef Martínez,Venezuela,ST,75
Omar Mascarell,Spain,CM,75
Jean-Philippe Mateta,France,ST,75
Cristian Medina,Argentina,CM,75
Miguel Ángel Merentiel,Uruguay,ST,75
Rony Lopes,Portugal,RM,75
Djordje Mihailovic,United States,CAM,75
Fabio Miretti,Italy,CM,75
Moleiro,Spain,LM,75
Joni Montiel,Spain,CAM,75
Maxi Moralez,Argentina,CAM,75
Harold Moukoudi,Cameroon,CB,75
Mykhailo Mudryk,Ukraine,LW,75
Vitaliy Mykolenko,Ukraine,LB,75
Keito Nakamura,Japan,LM,75
Nahitan Nández,Uruguay,CM,75
Youssouf Ndayishimiye,Burundi,CB,75
Badou Ndiaye,Senegal,CM,75
Negredo,Spain,ST,75
Michael Ngadeu,Cameroon,CB,75
Eddie Nketiah,England,ST,75
Kenedy,Brazil,LM,75
Juan Jesus,Brazil,CB,75
Matt O'Riley,Denmark,CM,75
Igoh Ogbu,Nigeria,CB,75
Lincoln,Brazil,CAM,75
Gift Emmanuel Orban,Nigeria,ST,75
Divock Origi,Belgium,ST,75
Mislav Oršić,Croatia,LW,75
Joseph Paintsil,Ghana,RM,75
Sebastián Palacios,Argentina,RW,75
Nicolas Pallois,France,CB,75
José Luis Palomino,Argentina,CB,75
Strahinja Pavlović,Serbia,CB,75
Amahl Pellegrino,Norway,LW,75
Rubén Peña,Spain,RB,75
Romain Perraud,France,LB,75
Bruno Petković,Croatia,ST,75
Gonzalo Piovi,Argentina,CB,75
Portu,Spain,RM,75
Dennis Praet,Belgium,CAM,75
Sanjin Prcić,Bosnia and Herzegovina,CDM,75
Robin Pröpper,Holland,CB,75
Riqui Puig,Spain,CM,75
Teemu Pukki,Finland,ST,75
Vako,Georgia,LM,75
Uroš Račić,Serbia,CM,75
Nemanja Radonjić,Serbia,CF,75
Raíllo,Spain,CB,75
André Ramalho,Brazil,CB,75
Cristian Ramírez,Ecuador,LB,75
Sandro,Spain,ST,75
Nicolas Raskin,Belgium,CM,75
Filipe Relvas,Portugal,CB,75
Devyne Rensch,Holland,RB,75
Marco Richter,Germany,RM,75
Luis Rioja,Spain,LM,75
Connor Roberts,Wales,RB,75
Marc Roca,Spain,CDM,75
Kévin Rodrigues,Portugal,LB,75
Morato,Brazil,CB,75
Paulo Oliveira,Portugal,CB,75
Ricardo Rodríguez,Switzerland,CB,75
Sebastián Rodríguez,Uruguay,CM,75
Óscar,Spain,CM,75
Cristian Roldan,United States,RM,75
Benjamín Rollheiser,Argentina,RM,75
Pablo Rosario,Holland,CDM,75
Daniele Rugani,Italy,CB,75
Mikkel Rygaard,Denmark,CM,75
Falaye Sacko,Mali,RB,75
Diadié Samassékou,Mali,CDM,75
Javi Sánchez,Spain,CB,75
Giorgio Scalvini,Italy,CB,75
Bart Schenkeveld,Holland,CB,75
Jerdy Schouten,Holland,CDM,75
Benjamin Šeško,Slovenia,ST,75
Ryan Sessegnon,England,LB,75
Xherdan Shaqiri,Switzerland,CAM,75
Ahmed Sharahili,Saudi Arabia,CB,75
Jonjo Shelvey,England,CM,75
Djibril Sidibé,France,RB,75
Leonardo Sigali,Argentina,CB,75
Alejandro Silva,Uruguay,RM,75
David Silva,Colombia,CAM,75
Cesinha,Brazil,ST,75
Gijs Smal,Holland,LB,75
Dominic Solanke,England,ST,75
Pablo Solari,Argentina,RM,75
Asger Sørensen,Denmark,CB,75
Boubakary Soumaré,France,CDM,75
Ricardo Esgaio,Portugal,RWB,75
Walace,Brazil,CDM,75
Anton Stach,Germany,CM,75
Josip Stanišić,Croatia,RB,75
Kevin Stöger,Austria,CM,75
Luis Javier Suárez,Colombia,ST,75
Denis Suárez,Spain,CM,75
Heorhii Sudakov,Ukraine,CAM,75
Serhiy Sydorchuk,Ukraine,CDM,75
Damian Szymański,Poland,CDM,75
Marcus Tavernier,England,LM,75
Greg Taylor,Scotland,LB,75
Kenneth Taylor,Holland,CM,75
Nahuel Tenaglia,Argentina,RB,75
Tarik Tissoudali,Morocco,CF,75
Cenk Tosun,Turkey,ST,75
Bertrand Traoré,Burkina Faso,RM,75
Adama Traoré,Mali,RW,75
Felix Uduokhai,Germany,CB,75
Aurélio Buta,Portugal,RM,75
Deniz Undav,Germany,ST,75
Mark Uth,Germany,CAM,75
Milan van Ewijk,Holland,RWB,75
Kevin,Spain,RB,75
Alan Velasco,Argentina,LM,75
Alejo Veliz,Argentina,ST,75
Domagoj Vida,Croatia,CB,75
Tonny Vilhena,Holland,CM,75
Rodrigo Villagra,Argentina,CDM,75
Lázaro,Brazil,LM,75
Jed Wallace,England,RM,75
Shon Weissman,Israel,ST,75
Harry Wilson,Wales,RM,75
Chris Wood,New Zealand,ST,75
Andriy Yarmolenko,Ukraine,RM,75
Ryan Yates,England,CDM,75
Miha Zajc,Slovenia,CM,75
Edon Zhegrova,Kosovo,RM,75
Adem Zorgane,Algeria,CM,75
Brenden Aaronson,United States,CAM,74
Liel Abada,Israel,RW,74
Saud Abdulhamid,Saudi Arabia,RB,74
Michel Aebischer,Switzerland,CM,74
Akapo,Equatorial Guinea,RB,74
Akieme,Spain,LB,74
Kevin Akpoguma,Nigeria,CB,74
Iván Alejo,Spain,RM,74
Aleñá,Spain,CM,74
