Name,Nation,Club,Position,Age,Overall
Pedro,Spain,Latium,RW,36,79
Kaku,Paraguay,Al Ain FC,CAM,28,79
Perr Schuurs,Holland,Torino,CB,23,79
Mohamed Simakan,France,RB Leipzig,CB,23,79
Xavi Simons,Holland,RB Leipzig,CAM,20,79
Douglas Luiz,Brazil,Aston Villa,CDM,25,79
Carlos Soler,Spain,Paris SG,CM,26,79
Alexander Sørloth,Norway,Villarreal CF,ST,27,79
Tomáš Souček,Czech Republic,West Ham,CDM,28,79
Josip Šutalo,Croatia,Ajax,CB,23,79
James Tarkowski,England,Everton,CB,30,79
Teddy Teuma,Malta,Stade de Reims,CM,30,79
Khéphren Thuram,France,OGC Nice,CM,22,79
Marcus Thuram,France,Inter,ST,26,79
Jurriën Timber,Holland,Arsenal,CB,22,79
Jean-Clair Todibo,France,OGC Nice,CB,23,79
Corentin Tolisso,France,OL,CDM,29,79
Óliver Torres,Spain,Sevilla FC,CM,28,79
Gernot Trauner,Austria,Feyenoord,CB,31,79
Samuel Umtiti,France,LOSC Lille,CB,29,79
Hans Vanaken,Belgium,Club Brugge,CM,31,79
Jan Vertonghen,Belgium,RSC Anderlecht,CB,36,79
Edin Višća,Bosnia and Herzegovina,Trabzonspor,RM,33,79
Vivian,Spain,Athletic Club,CB,24,79
Kevin Volland,Germany,Union Berlin,ST,31,79
Nico Williams,Spain,Athletic Club,RM,21,79
Axel Witsel,Belgium,Atlético de Madrid,CDM,34,79
Denis Zakaria,Switzerland,AS Monaco,CDM,26,79
Davide Zappacosta,Italy,Bergamo Calcio,LWB,31,79
Lucas Zelarayán,Armenia,Al Fateh,CAM,31,79
Carlos Augusto,Brazil,Inter,LM,24,79
Kurt Zouma,France,West Ham,CB,28,79
Salis Abdul Samed,Ghana,RC Lens,CDM,23,78
Tyler Adams,United States,AFC Bournemouth,CDM,24,78
Pizzi,Portugal,SC Braga,CM,34,78
Rodrigo Aliendro,Argentina,River Plate,CM,32,78
Joachim Andersen,Denmark,Crystal Palace,CB,27,78
Michail Antonio,Jamaica,West Ham,ST,33,78
Gabriel Paulista,Brazil,Valencia CF,CB,32,78
Serge Aurier,Côte d'Ivoire,Nott'm Forest,RB,30,78
Sardar Azmoun,Iran,Roma FC,ST,28,78
Benoît Badiashile,France,Chelsea,CB,22,78
Simon Banza,France,SC Braga,ST,27,78
Antonín Barák,Czech Republic,Fiorentina,CM,28,78
Sheraldo Becker,Suriname,Union Berlin,ST,28,78
Héctor Bellerín,Spain,Real Betis,RB,28,78
Andrea Belotti,Italy,Roma FC,ST,29,78
Saïd Benrahma,Algeria,West Ham,LM,28,78
Mergim Berisha,Germany,TSG Hoffenheim,ST,25,78
Federico Bernardeschi,Italy,Toronto FC,RW,29,78
Ludovic Blas,France,Stade Rennais FC,CAM,25,78
Denis Bouanga,Gabon,LAFC,LW,28,78
Nélson Semedo,Portugal,Wolves,RB,29,78
Mohamed Camara,Mali,AS Monaco,CDM,23,78
Maxence Caqueret,France,OL,CM,23,78
Matheus Cunha,Brazil,Wolves,ST,24,78
Gedson Fernandes,Portugal,Beşiktaş,CM,24,78
Gaetano Castrovilli,Italy,Fiorentina,CM,26,78
Eric Maxim Choupo-Moting,Cameroon,FC Bayern München,ST,34,78
Jordy Clasie,Holland,AZ,CDM,32,78
Santi Comesaña,Spain,Villarreal CF,CDM,27,78
Igor Coronado,Brazil,Al Ittihad,CAM,31,78
Dante,Brazil,OGC Nice,CB,39,78
Vladimír Coufal,Czech Republic,West Ham,RB,31,78
Gustavo Cuéllar,Colombia,Al Shabab,CDM,30,78
José Fonte,Portugal,SC Braga,CB,39,78
Mahmoud Dahoud,Germany,Brighton,CM,27,78
Felipe,Brazil,Nott'm Forest,CB,34,78
Nicolás De la Cruz,Uruguay,River Plate,CM,26,78
Evanilson,Brazil,FC Porto,ST,24,78
Habib Diallo,Senegal,Al Shabab,ST,28,78
Issa Diop,France,Fulham,CB,26,78
Ritsu Doan,Japan,SC Freiburg,RM,25,78
Danilho Doekhi,Holland,Union Berlin,CB,25,78
Oscar,Brazil,Shanghai Port,CM,32,78
Cheick Doucouré,Mali,Crystal Palace,CDM,23,78
Sebastián Driussi,Argentina,Austin FC,CAM,27,78
Munir,Morocco,UD Las Palmas,LM,28,78
Stephan El Shaarawy,Italy,Roma FC,LM,30,78
Breel Embolo,Switzerland,AS Monaco,ST,26,78
Alfonso Espino,Uruguay,Rayo Vallecano,LB,31,78
Ansu Fati,Spain,Brighton,LW,20,78
Remo Freuler,Switzerland,Bologna,CDM,31,78
Conor Gallagher,England,Chelsea,CM,23,78
Rubén García,Spain,CA Osasuna,LM,30,78
Fran García,Spain,Real Madrid,LB,24,78
Pepelu,Spain,Valencia CF,CDM,25,78
Rachid Ghezzal,Algeria,Beşiktaş,RW,31,78
Samuel Gigot,France,OM,CB,29,78
Santiago Giménez,Mexico,Feyenoord,ST,22,78
Ismaily,Brazil,LOSC Lille,LB,33,78
Jonathan Gradit,France,RC Lens,CB,30,78
Pascal Groß,Germany,Brighton,CM,32,78
Marc Guéhi,England,Crystal Palace,CB,23,78
Amadou Haidara,Mali,RB Leipzig,CM,25,78
Reo Hatate,Japan,Celtic,CM,25,78
Hans Hateboer,Holland,Bergamo Calcio,RWB,29,78
Thorgan Hazard,Belgium,RSC Anderlecht,LM,30,78
Ahmed Hegazi,Egypt,Al Ittihad,CB,32,78
Benjamin Henrichs,Germany,RB Leipzig,RB,26,78
Rico Henry,England,Brentford,LB,26,78
Héctor Herrera,Mexico,Houston Dynamo,CM,33,78
Junya Ito,Japan,Stade de Reims,RM,30,78
Nicolas Jackson,Senegal,Chelsea,ST,22,78
Florian Kainz,Austria,1. FC Köln,CAM,30,78
Pierre Kalulu,France,Milan,CB,23,78
Rick Karsdorp,Holland,Roma FC,RM,28,78
Moise Kean,Italy,Juventus,ST,23,78
Naby Keïta,Guinea,SV Werder Bremen,CM,28,78
Sead Kolašinac,Bosnia and Herzegovina,Bergamo Calcio,CB,30,78
Rade Krunić,Bosnia and Herzegovina,Milan,CM,30,78
Kodjo Fo-Doh Laba,Togo,Al Ain FC,ST,31,78
Noa Lang,Holland,PSV,LW,24,78
Lee Jae Sung,Korea Republic,1. FSV Mainz 05,CAM,31,78
Lee Kang In,Korea Republic,Paris SG,LW,22,78
Emerson Royal,Brazil,Spurs,RB,24,78
Mario Lemina,Gabon,Wolves,CDM,30,78
Alex Sandro,Brazil,Juventus,LB,32,78
Sean Longstaff,England,Newcastle Utd,CM,25,78
Maxime Lopez,France,Fiorentina,CM,25,78
Dejan Lovren,Croatia,OL,CB,34,78
Dodi Lukébakio,Belgium,Sevilla FC,RM,26,78
Renato Sanches,Portugal,Roma FC,CM,26,78
Pablo Maffeo,Spain,RCD Mallorca,RWB,26,78
Nemanja Maksimović,Serbia,Getafe CF,CM,28,78
Tyrell Malacia,Holland,Manchester Utd,LB,24,78
Ruslan Malinovskyi,Ukraine,Genoa,CF,30,78
Konstantinos Mavropanos,Greece,West Ham,CB,25,78
Philipp Max,Germany,Frankfurt,LWB,30,78
Bryan Mbeumo,Cameroon,Brentford,RW,24,78
Junior Messias,Brazil,Genoa,RW,32,78
Luis Milla,Spain,Getafe CF,CM,29,78
Moncayola,Spain,CA Osasuna,CM,25,78
Hidemasa Morita,Japan,Sporting CP,CM,28,78
Galeno,Brazil,FC Porto,LM,25,78
Marcão,Brazil,Sevilla FC,CB,27,78
Fran Navarro,Spain,FC Porto,ST,25,78
Evan Ndicka,Côte d'Ivoire,Roma FC,CB,24,78
Tanguy Ndombele,France,Galatasaray,CM,26,78
Victor Nelsson,Denmark,Galatasaray,CB,24,78
Jota,Portugal,Al Ittihad,LM,24,78
M'Bala Nzola,Angola,Fiorentina,ST,27,78
Michael Olise,France,Crystal Palace,RW,21,78
Caio Henrique,Brazil,AS Monaco,LB,26,78
Mathías Olivera,Uruguay,Napoli FC,LB,25,78
Riccardo Orsolini,Italy,Bologna,RM,26,78
Salih Özcan,Turkey,Borussia Dortmund,CDM,25,78
Vangelis Pavlidis,Greece,AZ,ST,24,78
Pedraza,Spain,Villarreal CF,LB,27,78
Nicolas Pépé,Côte d'Ivoire,Trabzonspor,RM,28,78
Matteo Pessina,Italy,Monza,CAM,26,78
Quinn,Canada,OL Reign,CDM,28,78
Arthur,Brazil,Fiorentina,CM,27,78
Jacob Ramsey,England,Aston Villa,LM,22,78
David Raum,Germany,RB Leipzig,LB,25,78
Reguilón,Spain,Manchester Utd,LB,26,78
Tijjani Reijnders,Holland,Milan,CM,25,78
Sérgio Oliveira,Portugal,Galatasaray,CM,31,78
Giovanni Reyna,United States,Borussia Dortmund,RM,20,78
André Almeida,Portugal,Valencia CF,CM,23,78
Dani Rodríguez,Spain,RCD Mallorca,RM,35,78
Alexis Saelemaekers,Belgium,Bologna,RW,24,78
Antonio Sanabria,Paraguay,Torino,ST,27,78
Pablo Sarabia,Spain,Wolves,RM,31,78
Gianluca Scamacca,Italy,Bergamo Calcio,ST,24,78
Stefano Sensi,Italy,Inter,CM,28,78
Giovanni Simeone,Argentina,Napoli FC,ST,28,78
Luis Sinisterra,Colombia,AFC Bournemouth,LM,24,78
Emile Smith Rowe,England,Arsenal,LW,23,78
Borna Sosa,Croatia,Ajax,LWB,25,78
Djibril Sow,Switzerland,Sevilla FC,CM,26,78
Taras Stepanenko,Ukraine,Shakhtar Donetsk,CDM,34,78
Lars Stindl,Germany,Karlsruher SC,CAM,35,78
Renato Tapia,Peru,RC Celta,CDM,28,78
António Silva,Portugal,SL Benfica,CB,19,78
James Tavernier,England,Rangers,RB,31,78
Adrien Thomasson,France,RC Lens,LW,29,78
Takehiro Tomiyasu,Japan,Arsenal,RB,24,78
Óscar Trejo,Argentina,Rayo Vallecano,CAM,35,78
Mike Trésor,Belgium,Burnley,LM,24,78
Cengiz Ünder,Turkey,Fenerbahçe,RM,26,78
Myrto Uzuni,Albania,Granada CF,ST,28,78
Micky van de Ven,Holland,Spurs,CB,22,78
Branco van den Boomen,Holland,Ajax,CM,28,78
Jamie Vardy,England,Leicester City,ST,36,78
Joey Veerman,Holland,PSV,CM,24,78
Gabri Veiga,Spain,Al Ahli,CM,21,78
Joël Veltman,Holland,Brighton,RB,31,78
Vesga,Spain,Athletic Club,CM,30,78
Nikola Vlašić,Croatia,Torino,CF,26,78
Elye Wahi,France,RC Lens,ST,20,78
James Ward-Prowse,England,West Ham,CM,28,78
Adam Webster,England,Brighton,CB,28,78
Joe Willock,England,Newcastle Utd,CM,24,78
Patrick Wimmer,Austria,VfL Wolfsburg,RW,22,78
Marius Wolf,Germany,Borussia Dortmund,RB,28,78
Yunis Abdelhamid,Morocco,Stade de Reims,CB,36,77
Luciano Acosta,Argentina,FC Cincinnati,CAM,29,77
Tosin Adarabioyo,England,Fulham,CB,26,77
Amine Adli,Morocco,Leverkusen,ST,23,77
Kerem Aktürkoğlu,Turkey,Galatasaray,LM,24,77
Salem Al Dawsari,Saudi Arabia,Al Hilal,LM,32,77
Nadiem Amiri,Germany,Leverkusen,CAM,26,77
Stephen Eustáquio,Canada,FC Porto,CDM,26,77
Taiwo Awoniyi,Nigeria,Nott'm Forest,ST,26,77
Loïc Badé,France,Sevilla FC,CB,23,77
Tommaso Baldanzi,Italy,Empoli,CAM,20,77
Iván Balliu,Albania,Rayo Vallecano,RB,31,77
Jonathan Bamba,France,RC Celta,LM,27,77
Igor Paixão,Brazil,Feyenoord,LW,23,77
Esequiel Barco,Argentina,River Plate,LM,24,77
Abdülkerim Bardakçı,Turkey,Galatasaray,CB,29,77
Musa Barrow,Gambia,Al Taawoun,CF,24,77
Michy Batshuayi,Belgium,Fenerbahçe,ST,30,77
Ihlas Bebou,Togo,TSG Hoffenheim,ST,29,77
Juan Bernat,Spain,SL Benfica,LB,30,77
Philip Billing,Denmark,AFC Bournemouth,CM,27,77
Daley Blind,Holland,Girona FC,CB,33,77
Willian,Brazil,Fulham,LM,35,77
Fabio Borini,Italy,Sampdoria,LM,32,77
Lucas Boyé,Argentina,Granada CF,ST,27,77
Martin Braithwaite,Denmark,RCD Espanyol,ST,32,77
Ante Budimir,Croatia,CA Osasuna,ST,32,77
Santiago Bueno,Uruguay,Wolves,CB,24,77
Alessandro Buongiorno,Italy,Torino,CB,24,77
Dominic Calvert-Lewin,England,Everton,ST,26,77
Gianluca Caprari,Italy,Monza,CF,30,77
Timothy Castagne,Belgium,Fulham,RB,27,77
Danilo Cataldi,Italy,Latium,CDM,29,77
Franco Cervi,Argentina,RC Celta,LM,29,77
Trevoh Chalobah,England,Chelsea,CB,24,77
Viktor Claesson,Sweden,F.C. København,CM,31,77
Dodô,Brazil,Fiorentina,RB,24,77
Joaquín Correa,Argentina,OM,CF,29,77
Jaume Costa,Spain,RCD Mallorca,LWB,35,77
Aaron Cresswell,England,West Ham,LB,33,77
Danilo D'Ambrosio,Italy,Monza,CB,35,77
Ben Davies,Wales,Spurs,CB,30,77
Craig Dawson,England,Wolves,CB,33,77
De Frutos,Spain,Rayo Vallecano,RM,26,77
Vanderson,Brazil,AS Monaco,RB,22,77
Michael,Brazil,Al Hilal,LM,27,77
Merih Demiral,Turkey,Al Ahli,CB,25,77
Paulinho,Portugal,Sporting CP,ST,30,77
Samuel Lino,Brazil,Atlético de Madrid,LM,23,77
Eric Dier,England,Spurs,CB,29,77
Sofiane Diop,France,OGC Nice,LM,23,77
Dakonam Djené,Togo,Getafe CF,CB,31,77
Berat Djimsiti,Albania,Bergamo Calcio,CB,30,77
Jérémy Doku,Belgium,Manchester City,RM,21,77
Nicolás Domínguez,Argentina,Nott'm Forest,CDM,25,77
Éderson,Brazil,Bergamo Calcio,CM,24,77
Abdoulaye Doucouré,Mali,Everton,CM,30,77
Marvin Ducksch,Germany,SV Werder Bremen,ST,29,77
Harvey Elliott,England,Liverpool,CAM,20,77
Nico Elvedi,Switzerland,M'gladbach,CB,27,77
Gonzalo Escalante,Argentina,Cádiz CF,CM,30,77
Nicolò Fagioli,Italy,Juventus,CM,22,77
Romain Faivre,France,FC Lorient,RM,25,77
Fábio Vieira,Portugal,Arsenal,CAM,23,77
Jordan Ferri,France,Montpellier,CDM,31,77
Pablo Fornals,Spain,West Ham,LM,27,77
Kyogo Furuhashi,Japan,Celtic,ST,28,77
Levi García,Trinidad and Tobago,AEK Athens,ST,25,77
Raúl García,Spain,Athletic Club,ST,37,77
Rodrigo Garro,Argentina,Talleres,CAM,25,77
Yannick Gerhardt,Germany,VfL Wolfsburg,CM,29,77
Morgan Gibbs-White,England,Nott'm Forest,CAM,23,77
Bryan Gil,Spain,Spurs,LW,22,77
Maximiliano Gómez,Uruguay,Cádiz CF,ST,27,77
Leandro González Pirez,Argentina,River Plate,CB,31,77
Demarai Gray,Jamaica,Ettifaq FC,LM,27,77
Marko Grujić,Serbia,FC Porto,CM,27,77
Idrissa Gueye,Senegal,Everton,CDM,34,77
Pape Gueye,Senegal,OM,CM,24,77
Serhou Guirassy,Guinea,VfB Stuttgart,ST,27,77
Arda Güler,Turkey,Real Madrid,CAM,18,77
Guruzeta,Spain,Athletic Club,ST,27,77
Abderrazak Hamdallah,Morocco,Al Ittihad,ST,32,77
Javier Hernández,Mexico,LA Galaxy,ST,35,77
Bryan Heynen,Belgium,KRC Genk,CDM,26,77
Morten Hjulmand,Denmark,Sporting CP,CDM,24,77
Adam Hložek,Czech Republic,Leverkusen,ST,21,77
Andreas Pereira,Brazil,Fulham,CAM,27,77
Tomáš Holeš,Czech Republic,Slavia Praha,CB,30,77
Timo Hübers,Germany,1. FC Köln,CB,27,77
Jonathan Ikoné,France,Fiorentina,RW,25,77
Illarramendi,Spain,FC Dallas,CM,33,77
Danny Ings,England,West Ham,ST,31,77
Ko Itakura,Japan,M'gladbach,CB,26,77
Vincent Janssen,Holland,Royal Antwerp FC,ST,29,77
Adnan Januzaj,Belgium,Sevilla FC,RW,28,77
Sequeira,Portugal,Pendikspor,LB,33,77
Curtis Jones,England,Liverpool,CM,22,77
Luka Jović,Serbia,Milan,ST,25,77
Josip Juranović,Croatia,Union Berlin,RWB,28,77
Ferdi Kadıoğlu,Turkey,Fenerbahçe,RB,24,77
Saša Kalajdžić,Austria,Wolves,ST,26,77
Jesper Karlsson,Sweden,Bologna,LW,25,77
Michael Keane,England,Everton,CB,30,77
Justin Kluivert,Holland,AFC Bournemouth,RM,24,77
Robin Knoche,Germany,Union Berlin,CB,31,77
Dominik Kohr,Germany,1. FSV Mainz 05,CDM,29,77
Ghislain Konan,Côte d'Ivoire,Al Fayha,LB,27,77
Kouadio Manu Koné,France,M'gladbach,CM,22,77
Christian Kouamé,Côte d'Ivoire,Fiorentina,ST,25,77
Christoph Kramer,Germany,M'gladbach,CDM,32,77
Ladislav Krejčí,Czech Republic,Sparta Praha,CB,24,77
Enzo Le Fée,France,Stade Rennais FC,CM,23,77
Florian Lejeune,France,Rayo Vallecano,CB,32,77
Clément Lenglet,France,Aston Villa,CB,28,77
Jefferson Lerma,Colombia,Crystal Palace,CDM,28,77
Jesper Lindstrøm,Denmark,Napoli FC,CAM,23,77
Marko Livaja,Croatia,Hajduk Split,CF,30,77
Diego Llorente,Spain,Roma FC,CB,30,77
Ruben Loftus-Cheek,England,Milan,CM,27,77
Pedro Neto,Portugal,Wolves,LM,23,77
Castello Lukeba,France,RB Leipzig,CB,20,77
Saša Lukić,Serbia,Fulham,CM,27,77
André Horta,Portugal,SC Braga,CM,26,77
Darwin Machís,Venezuela,Cádiz CF,LM,30,77
Noni Madueke,England,Chelsea,RW,21,77
Joakim Mæhle,Denmark,VfL Wolfsburg,LWB,26,77
Marcano,Spain,FC Porto,CB,36,77
Guillermo Maripán,Chile,AS Monaco,CB,29,77
Lucas Martínez Quarta,Argentina,Fiorentina,CB,27,77
Clinton Mata,Angola,OL,RB,30,77
Melendo,Spain,Granada CF,CM,26,77
Domingos Duarte,Portugal,Getafe CF,CB,28,77
Pere Milla,Spain,RCD Espanyol,ST,31,77
James Milner,England,Brighton,CM,37,77
Yerry Mina,Colombia,Fiorentina,CB,29,77
Rafa Mir,Spain,Sevilla FC,ST,26,77
Alexey Miranchuk,Russia,Bergamo Calcio,CF,27,77
Miranda,Spain,Real Betis,LB,23,77
Terem Moffi,Nigeria,OGC Nice,ST,24,77
Johan Mojica,Colombia,CA Osasuna,LB,31,77
César Montes,Mexico,UD Almería,CB,26,77
Trincão,Portugal,Sporting CP,RW,23,77
Youssoufa Moukoko,Germany,Borussia Dortmund,ST,18,77
Marshall Munetsi,Zimbabwe,Stade de Reims,CDM,27,77
Daniel Muñoz,Colombia,KRC Genk,RB,27,77
Rodrigo Becão,Brazil,Fenerbahçe,CB,27,77
João Mário,Portugal,FC Porto,RB,23,77
Moussa Niakhaté,Senegal,Nott'm Forest,CB,27,77
Felix Nmecha,Germany,Borussia Dortmund,CM,22,77
Lukas Nmecha,Germany,VfL Wolfsburg,ST,24,77
Christian Nørgaard,Denmark,Brentford,CDM,29,77
Unai Núñez,Spain,RC Celta,CB,26,77
Anthony Nwakaeme,Nigeria,Al Fayha,ST,34,77
Brian Oliván,Spain,RCD Espanyol,LB,29,77
Emerson,Italy,West Ham,LB,29,77
Leandro Paredes,Argentina,Roma FC,CM,29,77
Fabiano Parisi,Italy,Fiorentina,LB,22,77
Enzo Pérez,Argentina,River Plate,CDM,37,77
Andrea Petagna,Italy,Cagliari,ST,28,77
Orbelín Pineda,Mexico,AEK Athens,CAM,27,77
Alassane Plea,France,M'gladbach,CAM,30,77
Stefan Posch,Austria,Bologna,RB,26,77
Yaroslav Rakitskyi,Ukraine,Shakhtar Donetsk,CB,34,77
Ante Rebić,Croatia,Beşiktaş,ST,30,77
Nathan Redmond,England,Burnley,RM,29,77
Thierry Correia,Portugal,Valencia CF,RB,24,77
Mateo Retegui,Italy,Genoa,ST,24,77
Diego Rico,Spain,Getafe CF,LB,30,77
Riquelme,Spain,Atlético de Madrid,LM,23,77
Fábio Cardoso,Portugal,FC Porto,CB,29,77
Marcos Rojo,Argentina,Boca Juniors,CB,33,77
Luiz Henrique,Brazil,Real Betis,RM,22,77
Nicolò Rovella,Italy,Latium,CM,21,77
Raúl Ruidíaz,Peru,Sounders FC,ST,33,77
Julian Ryerson,Norway,Borussia Dortmund,LB,25,77
Youssouf Sabaly,Senegal,Real Betis,RB,30,77
Umar Sadiq,Nigeria,Real Sociedad,ST,26,77
Davinson Sánchez,Colombia,Galatasaray,CB,27,77
Rodri,Spain,Real Betis,LM,23,77
Baptiste Santamaria,France,Stade Rennais FC,CDM,28,77
Mykola Shaparenko,Ukraine,Dynamo Kyiv,CM,25,77
Oliver Skipp,England,Spurs,CDM,23,77
Andreas Skov Olsen,Denmark,Club Brugge,RM,23,77
Manor Solomon,Israel,Spurs,LW,24,77
Florian Sotoca,France,RC Lens,ST,32,77
Çağlar Söyüncü,Turkey,Atlético de Madrid,CB,27,77
Jeremiah St. Juste,Holland,Sporting CP,CB,26,77
Nicolae Stanciu,Romania,Damac FC,CM,30,77
Gabriel Strefezza,Brazil,Lecce,RW,26,77
Cristhian Stuani,Uruguay,Girona FC,ST,36,77
Damián Suárez,Uruguay,Getafe CF,RWB,35,77
Sebastian Szymański,Poland,Fenerbahçe,CAM,24,77
André Gomes,Portugal,Everton,CDM,30,77
Arthur Theate,Belgium,Stade Rennais FC,CB,23,77
Malick Thiaw,Germany,Milan,CB,22,77
Lucas Torró,Spain,CA Osasuna,CDM,29,77
Lucas Tousart,France,Union Berlin,CDM,26,77
Manu Trigueros,Spain,Villarreal CF,CM,31,77
Christopher Trimmel,Austria,Union Berlin,RWB,36,77
Konstantinos Tsimikas,Greece,Liverpool,LB,27,77
Bruma,Portugal,SC Braga,LM,28,77
Destiny Udogie,Italy,Spurs,LB,20,77
Martin Valjent,Slovakia,RCD Mallorca,CB,27,77
Donny van de Beek,Holland,Manchester Utd,CM,26,77
Matías Vecino,Uruguay,Latium,CM,32,77
Wout Weghorst,Holland,TSG Hoffenheim,ST,31,77
Mitchell Weiser,Germany,SV Werder Bremen,RWB,29,77
Yoane Wissa,Congo DR,Brentford,LW,27,77
Laurent Abergel,France,FC Lorient,CDM,30,76
Ruben Aguilar,France,RC Lens,RB,30,76
Ai Kesen,China PR,Rongcheng FC,LW,34,76
Chuba Akpom,England,Ajax,ST,28,76
Omar Alderete,Paraguay,Getafe CF,CB,26,76
Alexander Alvarado,Ecuador,LDU Quito,LM,24,76
Nordin Amrabat,Morocco,AEK Athens,RM,36,76
Houssem Aouar,Algeria,Roma FC,CAM,25,76
Cristian Arango,Colombia,Real Salt Lake,ST,28,76
Ludwig Augustinsson,Sweden,RSC Anderlecht,LB,29,76
Iddrisu Baba,Ghana,UD Almería,CM,27,76
Álex Baena,Spain,Villarreal CF,CM,22,76
Eric Bailly,Côte d'Ivoire,Beşiktaş,CB,29,76
Cédric Bakambu,Congo DR,Galatasaray,ST,32,76
Anastasios Bakasetas,Greece,Trabzonspor,CM,30,76
Leonardo Balerdi,Argentina,OM,CB,24,76
Bradley Barcola,France,Paris SG,RW,21,76
Leandro Barreiro Martins,Luxembourg,1. FSV Mainz 05,CM,23,76
Lucas Beltrán,Argentina,Fiorentina,ST,22,76
Willy Boly,Côte d'Ivoire,Nott'm Forest,CB,32,76
Sebastiaan Bornauw,Belgium,VfL Wolfsburg,CB,24,76
Rafael Santos Borré,Colombia,SV Werder Bremen,ST,28,76
Olivier Boscagli,France,PSV,CB,25,76
Hicham Boudaoui,Algeria,OGC Nice,CM,24,76
Aaron Boupendza,Gabon,FC Cincinnati,LM,27,76
Malcom Braida,Argentina,San Lorenzo,LWB,26,76
Josip Brekalo,Croatia,Fiorentina,CF,25,76
Brian Brobbey,Holland,Ajax,ST,21,76
John Brooks,United States,TSG Hoffenheim,CB,30,76
Vitaliy Buyalskyi,Ukraine,Dynamo Kyiv,CM,30,76
Anthony Caci,France,1. FSV Mainz 05,LWB,26,76
Duje Ćaleta-Car,Croatia,OL,CB,27,76
Francesco Caputo,Italy,Empoli,ST,36,76
Cameron Carter-Vickers,United States,Celtic,CB,25,76
Vitinha,Portugal,OM,ST,23,76
Carlos Júnior,Brazil,Al Shabab,RW,28,76
Milton Casco,Argentina,River Plate,RB,35,76
Jonny,Spain,Wolves,LB,29,76
Zeki Çelik,Turkey,Roma FC,RWB,26,76
Václav Černý,Czech Republic,VfL Wolfsburg,RW,25,76
Conor Coady,England,Leicester City,CB,30,76
Nathan Collins,Republic of Ireland,Brentford,CB,22,76
Eray Cömert,Switzerland,FC Nantes,CB,25,76
Maxwel Cornet,Côte d'Ivoire,West Ham,LM,27,76
Josh Cullen,Republic of Ireland,Burnley,CDM,27,76
Eric Curbelo,Spain,UD Las Palmas,CB,29,76
Hugo Cuypers,Belgium,KAA Gent,ST,26,76
Davidson,Brazil,Wuhan 3 Towns,LW,32,76
Willian José,Brazil,Real Betis,ST,31,76
Mikkel Damsgaard,Denmark,Brentford,CAM,23,76
Bobby De Cordova-Reid,Jamaica,Fulham,RM,30,76
Charles De Ketelaere,Belgium,Bergamo Calcio,CAM,22,76
Mattia De Sciglio,Italy,Juventus,RB,30,76
Moussa Dembélé,France,Ettifaq FC,ST,27,76
Sergiño Dest,United States,PSV,RB,22,76
Kiernan Dewsbury-Hall,England,Leicester City,CM,25,76
Mouctar Diakhaby,Guinea,Valencia CF,CB,26,76
Paulo Díaz,Chile,River Plate,CB,29,76
Alexander Djiku,Ghana,Fenerbahçe,CB,29,76
Oscar Dorley,Liberia,Slavia Praha,CM,25,76
Niklas Dorsch,Germany,FC Augsburg,CDM,25,76
Igor,Brazil,Brighton,CB,25,76
Tiago Djaló,Portugal,LOSC Lille,CB,23,76
Embarba,Spain,UD Almería,LM,31,76
Frank Fabra,Colombia,Boca Juniors,LB,32,76
Wout Faes,Belgium,Leicester City,CB,25,76
Fayçal Fajr,Morocco,Al Wehda,CM,35,76
Marco Davide Faraoni,Italy,Hellas Verona,RWB,31,76
Lorenzo Faravelli,Argentina,Independiente DV,CM,30,76
Christian Fassnacht,Switzerland,Norwich,RM,29,76
Jesus Ferreira,United States,FC Dallas,ST,22,76
Nicolás Figal,Argentina,Boca Juniors,CB,29,76
Angelo Fulgini,France,RC Lens,LW,27,76
Patric,Spain,Latium,CB,30,76
Mijat Gaćinović,Serbia,AEK Athens,LM,28,76
Kévin Gameiro,France,Strasbourg,ST,36,76
Dani García,Spain,Athletic Club,CM,33,76
Johan Gastien,France,Clermont Foot 63,CDM,35,76
Federico Gatti,Italy,Juventus,CB,25,76
Ryan Gauld,Scotland,Whitecaps FC,CF,27,76
Dániel Gazdag,Hungary,Philadelphia,CAM,27,76
Adrià Pedrosa,Spain,Sevilla FC,LB,25,76
Angel Gomes,England,LOSC Lille,CAM,23,76
João Gomes,Brazil,Wolves,CDM,22,76
Nico González,Spain,FC Porto,CDM,21,76
Craig Goodwin,Australia,Al Wehda,LM,31,76
Gorosabel,Spain,D. Alavés,RB,27,76
Florian Grillitsch,Austria,TSG Hoffenheim,CDM,28,76
Andrés Guardado,Mexico,Real Betis,CDM,37,76
Frédéric Guilbert,France,Strasbourg,RWB,28,76
Malo Gusto,France,Chelsea,RB,20,76
Massadio Haïdara,Mali,RC Lens,LWB,30,76
Marcel Halstenberg,Germany,Hannover 96,CB,32,76
Lukáš Haraslín,Slovakia,Sparta Praha,LW,27,76
Amine Harit,Morocco,OM,LM,26,76
Jack Harrison,England,Everton,LM,26,76
Trezeguet,Egypt,Trabzonspor,LW,29,76
Cucho Hernández,Colombia,Columbus Crew,ST,24,76
Aridane,Spain,Rayo Vallecano,CB,34,76
Yangel Herrera,Venezuela,Girona FC,CM,25,76
Aaron Hickey,Scotland,Brentford,RB,21,76
Nicolas Höfler,Germany,SC Freiburg,CDM,33,76
